,Spicy,Floral,Earthy,Citrus,Berry ,Tree fruit,Tropical fruit ,Dried fruit ,Other ,Fresh,Cooked,Dried,Caramel,Nutty
Wagner Quena,1,0,1,0,0,0,0,0,1,0,1,0,0,0
Chocolat Stella India,1,0,1,0,0,0,1,1,0,0,1,0,0,0
Hachez Sao Tomé,1,0,1,1,0,0,0,1,0,0,1,0,1,1
Hachez Ecuador,1,0,0,0,1,1,0,1,0,1,0,0,0,1
Ritter Sport Kakaoklasse,1,0,1,0,0,0,0,0,0,1,1,0,1,1
Hachez Venezuela ,0,1,1,0,1,1,1,1,0,1,0,0,1,1
Gepa Pur,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Rittersport Edel Vollmilch,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Hachez Papua Neuguinea ,0,0,1,0,0,0,0,0,0,1,0,0,0,0
