,Spicy,Floral,Earthy,Citrus,Berry ,Tree fruit,Tropical fruit ,Dried fruit ,Other ,Fresh,Cooked,Dried,Caramel,Nutty,,
Wagner Quena,1,0,1,0,1,0,0,0,1,0,0,0,1,0,,quite bitter
Chocolat Stella India,1,1,0,0,1,0,0,0,0,0,0,0,1,0,,
Hachez Sao Tomé,1,0,1,0,0,1,0,0,0,0,0,0,1,1,,
Hachez Ecuador,1,1,0,1,1,0,0,1,0,1,0,1,0,1,,
Ritter Sport Kakaoklasse,1,0,1,0,1,0,0,1,0,0,1,1,0,1,,
Hachez Venezuela ,0,0,0,1,1,0,1,0,0,0,0,0,0,1,,
Gepa Pur,1,0,1,1,0,1,0,1,0,0,1,1,1,0,,tastes like coffee
Rittersport Edel Vollmilch,0,1,1,0,1,0,0,1,0,0,0,1,1,1,,
Hachez Papua Neuguinea ,0,0,1,0,1,0,0,0,0,0,0,0,1,1,,creamy
