,Spicy,Floral,Earthy,Citrus,Berry,Tree fruit,Tropical fruit,Dried fruit,Other,Fresh,Cooked,Dried,Caramel,Nutty
Wagner Quena,7,0,6,1,1,0,0,2,3,1,5,4,1,1
Chocolat Stella India,5,1,7,2,4,1,2,3,0,0,5,3,2,2
Hachez Sao Tomé,8,1,5,2,1,2,1,4,1,1,2,3,6,4
Hachez Ecuador,4,3,2,4,3,2,3,3,0,3,2,3,4,4
Ritter Sport Kakaoklasse,5,0,5,0,3,1,0,4,0,1,5,4,4,6
Hachez Venezuela,3,2,2,3,4,2,2,4,0,1,1,2,8,6
Gepa Pur,3,2,5,1,0,5,0,2,1,0,3,5,6,5
Rittersport Edel Vollmilch,1,3,4,1,3,2,0,3,1,3,0,1,7,4
Hachez Papua Neuguinea,3,3,4,0,2,0,2,1,1,2,0,0,6,5
