,Spicy,Floral,Earthy,Citrus,Berry ,Tree fruit,Tropical fruit ,Dried fruit ,Other ,Fresh,Cooked,Dried,Caramel,Nutty
Wagner Quena,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Chocolat Stella India,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Hachez Sao Tomé,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Hachez Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ritter Sport Kakaoklasse,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Hachez Venezuela ,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Gepa Pur,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Rittersport Edel Vollmilch,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Hachez Papua Neuguinea ,1,0,0,0,0,0,0,0,0,0,0,0,1,1
