,Spicy,Floral,Earthy,Citrus,Berry ,Tree fruit,Tropical fruit ,Dried fruit ,Other ,Fresh,Cooked,Dried,Caramel,Nutty,
Wagner Quena,0,0,1,0,0,0,0,0,1,0,1,0,0,0,"plasticy, ew, mouldy, not melty"
Chocolat Stella India,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"hard but smooth, not melty"
Hachez Sao Tomé,1,1,0,0,0,0,0,1,1,0,0,0,1,0,"plasticy, smooth, not melty, bitter"
Hachez Ecuador,0,1,0,1,0,0,1,0,0,0,0,0,0,0,little bit melty
Ritter Sport Kakaoklasse,0,0,0,0,0,0,0,0,0,0,1,0,1,1,plasticy 
Hachez Venezuela ,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"more milky, more melty"
Gepa Pur,0,0,0,0,0,1,0,1,1,0,0,0,1,1,"golden syrup porridge oats, more melty, grainy"
Rittersport Edel Vollmilch,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"melty, smooth, milky"
Hachez Papua Neuguinea ,1,0,1,0,0,0,0,1,1,0,0,0,1,0,"melty, small grains, milky hug"
