,Spicy,Floral,Earthy,Citrus,Berry ,Tree fruit,Tropical fruit ,Dried fruit ,Other ,Fresh,Cooked,Dried,Caramel,Nutty,Mouthfeel
Wagner Quena,1,0,1,,0,0,0,0,0,0,1,1,0,0,grainy
Chocolat Stella India,1,0,1,1,0,1,1,1,0,0,1,1,0,0,chunky
Hachez Sao Tomé,1,0,1,0,0,0,0,0,0,0,1,1,1,1,grainy
Hachez Ecuador,1,0,1,0,0,0,0,1,0,0,1,1,0,0,grainy
Ritter Sport Kakaoklasse,1,0,0,0,0,0,0,1,0,0,1,1,0,1,creamy
Hachez Venezuela ,1,0,1,1,0,0,0,1,0,0,1,0,1,1,creamy
Gepa Pur,0,1,1,0,0,1,0,0,0,0,0,1,1,1,grainy
Rittersport Edel Vollmilch,0,0,1,0,0,0,0,0,0,1,0,0,1,0,creamy
Hachez Papua Neuguinea ,0,0,0,0,0,0,0,0,0,1,0,,1,1,creamy
