,Spicy,Floral,Earthy,Citrus,Berry ,Tree fruit,Tropical fruit ,Dried fruit ,Other ,Fresh,Cooked,Dried,Caramel,Nutty
Wagner Quena,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chocolat Stella India,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hachez Sao Tomé,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hachez Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ritter Sport Kakaoklasse,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hachez Venezuela ,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Gepa Pur,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rittersport Edel Vollmilch,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hachez Papua Neuguinea ,1,0,0,0,0,0,0,0,0,0,0,0,0,0
